"sc_key","travis_status","date_checked"
"abw","passed","2015-05-21 16:54:20"
"ago","passed","2015-05-21 16:54:26"
"aia","passed","2015-05-21 16:54:31"
"alb","passed","2015-05-21 16:54:40"
"are","passed","2015-05-21 16:54:48"
"arg","passed","2015-05-21 16:54:55"
"asm","passed","2015-05-21 16:55:02"
"atg","passed","2015-05-21 16:55:11"
"aus","passed","2015-05-21 16:55:22"
"bel","passed","2015-05-21 16:55:28"
"ben","passed","2015-05-21 16:55:35"
"bgd","passed","2015-05-21 16:55:42"
"bgr","passed","2015-05-21 16:55:49"
"bhr","passed","2015-05-21 16:55:56"
"bhs","passed","2015-05-21 16:56:03"
"bih","passed","2015-05-21 16:56:08"
"blz","passed","2015-05-21 16:56:16"
"bmu","passed","2015-05-21 16:56:21"
"bra","passed","2015-05-21 16:56:27"
"brb","passed","2015-05-21 16:56:34"
"brn","passed","2015-05-21 16:56:41"
"bvt","failed","2015-05-21 16:56:48"
"can","passed","2015-05-21 16:57:02"
"cck","passed","2015-05-21 16:57:11"
"chl","passed","2015-05-21 16:57:20"
"chn","started","2015-05-21 16:57:33"
"cod","passed","2015-05-21 16:57:40"
"cog","passed","2015-05-21 16:57:46"
"cok","passed","2015-05-21 16:57:52"
"col","passed","2015-05-21 16:57:57"
"com","passed","2015-05-21 16:58:03"
"cpt","failed","2015-05-21 16:58:09"
"cpv","passed","2015-05-21 16:58:17"
"cri","passed","2015-05-21 16:58:23"
"cub","passed","2015-05-21 16:58:29"
"cuw","failed","2015-05-21 16:58:35"
"cxr","passed","2015-05-21 16:58:40"
"cym","passed","2015-05-21 16:58:47"
"cyp","passed","2015-05-21 16:58:52"
"deu","passed","2015-05-21 16:58:58"
"dji","failed","2015-05-21 16:59:04"
"dma","passed","2015-05-21 16:59:11"
"dnk","passed","2015-05-21 16:59:18"
"dom","passed","2015-05-21 16:59:23"
"dza","passed","2015-05-21 16:59:29"
"ecu","passed","2015-05-21 16:59:35"
"egy","failed","2015-05-21 16:59:42"
"eri","passed","2015-05-21 16:59:52"
"esh","passed","2015-05-21 16:59:59"
"esp","passed","2015-05-21 17:00:06"
"est","failed","2015-05-21 17:00:13"
"fin","failed","2015-05-21 17:00:23"
"fji","passed","2015-05-21 17:00:29"
"flk","passed","2015-05-21 17:00:35"
"fra","failed","2015-05-21 17:00:42"
"fro","passed","2015-05-21 17:00:49"
"fsm","passed","2015-05-21 17:00:56"
"gab","passed","2015-05-21 17:01:02"
"gbr","passed","2015-05-21 17:01:09"
"geo","passed","2015-05-21 17:01:15"
"ggy","failed","2015-05-21 17:01:26"
"gha","logged","2015-05-21 17:01:31"
"gib","logged","2015-05-21 17:01:36"
"gin","logged","2015-05-21 17:01:40"
"gmb","logged","2015-05-21 17:01:46"
"gnb","logged","2015-05-21 17:01:52"
"gnq","logged","2015-05-21 17:01:56"
"grc","logged","2015-05-21 17:02:01"
"grd","logged","2015-05-21 17:02:06"
"grl","logged","2015-05-21 17:02:13"
"gtm","logged","2015-05-21 17:02:20"
"guf","logged","2015-05-21 17:02:26"
"guy","logged","2015-05-21 17:02:32"
"hmd","logged","2015-05-21 17:02:37"
"hnd","logged","2015-05-21 17:02:42"
"hrv","logged","2015-05-21 17:02:49"
"hti","logged","2015-05-21 17:02:55"
"idn","logged","2015-05-21 17:03:02"
"ind","logged","2015-05-21 17:03:06"
"iot","logged","2015-05-21 17:03:12"
"irl","logged","2015-05-21 17:03:18"
"irn","logged","2015-05-21 17:03:23"
"irq","logged","2015-05-21 17:03:28"
"isl","logged","2015-05-21 17:03:33"
"ita","logged","2015-05-21 17:03:39"
"jam","logged","2015-05-21 17:03:46"
